Project,Class,WMC,DIT,NOC,CBO,RFC,LCOM,BrCv,MtCv,Cv,MnT,GnT,RsSize,RsLen,MnRsSize,MnRsLen
Apache-commons-compress,org.apache.commons.compress.compressors.pack200.Pack200CompressorInputStream,20,3,0,5,42,98,0.6214285714,0.15,0.303125,358.9,6786.0255208333,9.1,80.8,4.2,10.2
Apache-commons-compress,org.apache.commons.compress.compressors.pack200.TempFileCachingStreamBridge,3,4,0,3,9,0,0,0.25,0.25,32.7,25.6666666667,1,1,1,1
Apache-commons-compress,org.apache.commons.compress.compressors.pack200.InMemoryCachingStreamBridge,2,4,0,2,6,1,0,1,1,108,920.3,1.5,17.5,1,2
Apache-commons-compress,org.apache.commons.compress.compressors.pack200.Pack200CompressorOutputStream,9,3,0,4,23,6,0.5833333333,1,0.75,353.7,77871.6583333333,3,18.7,4.8,19.4
Apache-commons-compress,org.apache.commons.compress.compressors.pack200.Pack200Utils,5,1,0,0,22,10,0.2,1,0.3846153846,97.3,6710.8807692308,3,7.3,3,4.3
Apache-commons-compress,org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream,28,3,0,6,47,76,0.0375,0.1,0.040433213,1008.3,2735.8567388688,8.4,150,5.1,11.9
Apache-commons-compress,org.apache.commons.compress.compressors.bzip2.CRC,8,1,0,2,9,0,1,1,1,699.1,634.9833333333,3.5,63.5,5.5,11.7
Apache-commons-compress,org.apache.commons.compress.compressors.bzip2.Rand,3,1,0,1,4,1,0,1,1,120.4,212.4,1.2,11.1,2,2
Apache-commons-compress,org.apache.commons.compress.compressors.bzip2.BlockSort,18,1,0,2,25,123,0.4621428571,0.6823529412,0.6291618564,123476.8,27813.3519191329,5.1,103.8,5.2,22.1
Apache-commons-compress,org.apache.commons.compress.compressors.gzip.GzipUtils,5,1,0,1,12,0,0,1.3666666667,0.8783239437,8923.8,2700.5241651017,2.8,45.5,3.7,7.1
Apache-commons-compress,org.apache.commons.compress.compressors.gzip.GzipCompressorInputStream,9,3,0,2,44,20,0.1405405405,0.4,0.3386666667,10381.6,4155.5231111111,6.1,113.1,4.9,13.3
Apache-commons-compress,org.apache.commons.compress.compressors.gzip.GzipCompressorOutputStream,5,3,0,2,11,0,0,0.94,0.916,476.8,825.3593333333,6.7,174.4,4.8,16.8
Apache-commons-compress,org.apache.commons.compress.compressors.FileNameUtil,4,1,0,3,23,0,0.9,1.05,0.984375,1134,7067.5557291667,6.2,95.5,11,42.5
Apache-commons-compress,org.apache.commons.compress.compressors.CompressorStreamFactory,5,1,0,12,33,4,0.7684210526,0.96,0.89,2135.3,19017.4916666667,13.5,91,15.5,47.7
Apache-commons-compress,org.apache.commons.compress.compressors.xz.XZUtils,6,1,0,3,14,3,0,1.1,0.9875,447.5,3218.63125,3.3,40.2,5.5,10.6
Apache-commons-compress,org.apache.commons.compress.compressors.xz.XZCompressorOutputStream,7,3,0,5,16,0,0,0.8857142857,0.94,1511.2,900.3876190476,5.9,126.4,4.7,13.5
Apache-commons-compress,org.apache.commons.compress.compressors.xz.XZCompressorInputStream,8,3,0,6,17,0,0.48,0.3,0.52,595.7,1960.6366666667,5.9,86.4,3.7,8
Apache-commons-compress,org.apache.commons.compress.utils.CharsetNames,1,1,0,0,2,0,0,1.2,1,69.9,765.8833333333,1.7,18.3,1,1.4
Apache-commons-compress,org.apache.commons.compress.utils.IOUtils,4,1,0,2,9,6,1.1,1.0333333333,1,190.9,654.3722222222,4.2,86.9,1.6,5.4
Apache-commons-compress,org.apache.commons.compress.utils.CountingInputStream,6,3,0,0,9,11,0.8833333333,0.9,0.9888888889,1982,2191.1314814815,7.2,167.8,5.2,19.3
Apache-commons-compress,org.apache.commons.compress.utils.Charsets,4,1,0,0,7,6,1.55,1.3666666667,1,5064.5,2199.4944444445,4.2,84.2,5.7,9.9
Apache-commons-compress,org.apache.commons.compress.utils.ArchiveUtils,12,1,0,7,26,66,0.825,0.8818181818,1,925.8,11326.9136363636,7.2,149.4,11.4,25.5
Apache-commons-compress,org.apache.commons.compress.utils.CountingOutputStream,6,3,0,1,9,7,2.4,1.25,1,590.9,1709.9083333333,5.8,137.8,5.8,16.2
Apache-commons-compress,org.apache.commons.compress.archivers.zip.ZipEightByteInteger,17,1,0,4,28,80,0.825,0.825,0.9904761905,946.2,1259.9025793651,8.6,227.7,9.4,22
Apache-commons-compress,org.apache.commons.compress.archivers.zip.Zip64Mode,4,2,0,2,7,4,0,0,0.9972222222,288.8,16981.2328703704,6.8,109.6,3.5,10.5
Apache-commons-compress,org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField,21,1,0,7,35,24,0.9266666667,1.015,0.9562908497,1240.2,143159.095215142,9.6,83.2,22.7,77.5
Apache-commons-compress,org.apache.commons.compress.archivers.zip.ZipArchiveEntry,45,2,1,20,99,780,0.7651785714,0.8386363636,0.8611111111,2968.6,98671.7166245791,16.1,116.9,33.3,118.6
Apache-commons-compress,org.apache.commons.compress.archivers.zip.ZipMethod,6,2,0,3,14,9,6.75,3.7,0.5060629515,419.9,103409.417677159,3.4,19.7,6.3,18.2
Apache-commons-compress,org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,34,3,1,20,132,287,0.1422727273,0.3764705882,0.3030701754,1726.1,45718.6132567939,6.8,57.9,11,36.7
Apache-commons-compress,org.apache.commons.compress.archivers.zip.FallbackZipEncoding,5,1,0,2,11,0,2.1,1.46,0.9159649123,726.1,22725.3293274854,4.4,75.2,6.6,16.8
Apache-commons-compress,org.apache.commons.compress.archivers.zip.X7875_NewUnix,19,1,0,3,39,57,0.8785714286,0.9444444444,0.9703030303,517.1,150180.219124579,4,30.4,11.9,32.4
